Ordered_Product_Id,order_date,qty
11420442,2019-04-23,3
11420442,2019-04-24,4
11420442,2019-04-25,6
11420442,2019-04-26,5
11420442,2019-04-27,8
11420442,2019-04-28,1
11420442,2019-04-29,5
11420442,2019-04-30,1
11420442,2019-05-01,2
11420442,2019-05-02,1
11420442,2019-05-03,4
11420442,2019-05-04,3
11420442,2019-05-05,4
11420442,2019-05-06,4
11420442,2019-05-07,3
11420442,2019-05-08,5
11420442,2019-05-09,2
11420442,2019-05-14,3
11420442,2019-05-15,4
11420442,2019-05-16,1
11420442,2019-05-17,3
11420442,2019-05-18,3
11420442,2019-05-19,6
11420442,2019-05-20,1
11420442,2019-05-21,7
11420442,2019-05-22,6
11420442,2019-05-23,1
11420442,2019-05-24,5
11420442,2019-05-25,2
11420442,2019-05-26,5
11420442,2019-05-27,7
11420442,2019-05-28,10
11420442,2019-05-29,4
11420442,2019-05-30,3
11420442,2019-05-31,3
11420442,2019-06-01,6
11420442,2019-06-02,5
11420442,2019-06-03,2
11420442,2019-06-04,7
11420442,2019-06-05,4
11420442,2019-06-06,5
11420442,2019-06-07,3
11420442,2019-06-08,2
11420442,2019-06-09,5
11420442,2019-06-12,3
11420442,2019-06-13,4
11420442,2019-06-15,4
11420442,2019-06-16,5
11420442,2019-06-17,3
11420442,2019-06-18,3
11420442,2019-06-19,3
11420442,2019-06-20,2
11420442,2019-06-21,2
11420442,2019-06-23,1
11420442,2019-06-24,4
11420442,2019-06-25,5
11420442,2019-06-26,3
11420442,2019-06-27,3
11420442,2019-06-29,10
11420442,2019-06-30,1
11420442,2019-07-01,4
11420442,2019-07-02,4
11420442,2019-07-03,9
11420442,2019-07-04,3
11420442,2019-07-05,3
11420442,2019-07-06,3
11420442,2019-07-07,3
11420442,2019-07-08,2
11420442,2019-07-09,5
11420442,2019-07-12,4
11420442,2019-07-13,4
11420442,2019-07-14,3
11420442,2019-07-15,3
11420442,2019-07-16,2
11420442,2019-07-17,4
11420442,2019-07-19,9
11420442,2019-07-20,2
11420442,2019-07-22,6
11420442,2019-07-23,1
11420442,2019-07-24,5
11420442,2019-07-25,13
11420442,2019-07-26,5
11420442,2019-07-31,4
11420442,2019-08-01,4
11420442,2019-08-02,5
11420442,2019-08-03,3
11420442,2019-08-04,5
11420442,2019-08-05,5
11420442,2019-08-06,2
11420442,2019-08-07,2
11420442,2019-08-08,3
11420442,2019-08-09,3
11420442,2019-08-12,2
11420442,2019-08-13,3
11420442,2019-08-20,3
11420442,2019-08-21,3
11420442,2019-08-22,1
11420442,2019-08-23,4
11420442,2019-08-24,2
11420442,2019-08-25,4
11420442,2019-08-26,2
11420442,2019-08-27,1
11420442,2019-08-28,4
11420442,2019-08-29,2
11420442,2019-08-30,2
11420442,2019-08-31,6
11420442,2019-09-01,5
11420442,2019-09-02,2
11420442,2019-09-03,3
11420442,2019-09-04,2
11420442,2019-09-05,8
11420442,2019-09-06,4
11420442,2019-09-07,4
11420442,2019-09-08,1
11420442,2019-09-09,1
11420442,2019-09-12,5
11420442,2019-09-13,4
11420442,2019-09-14,3
11420442,2019-09-15,1
11420442,2019-09-19,1
11420442,2019-10-01,1
11420442,2019-10-02,6
11420442,2019-10-03,4
11420442,2019-10-05,4
11420442,2019-10-06,3
11420442,2019-10-07,1
11420442,2019-10-08,9
11420442,2019-10-09,1
11420442,2019-10-11,2
11420442,2019-10-12,2
11420442,2019-11-01,6
11420442,2019-11-02,3
11420442,2019-11-03,1
11420442,2019-11-04,4
11420442,2019-11-05,2
11420442,2019-11-06,1
11420442,2019-11-07,5
11420442,2019-11-08,7
11420442,2019-11-09,4
11420442,2019-11-13,3
11420442,2019-11-14,6
11420442,2019-11-15,1
11420442,2019-11-16,5
11420442,2019-11-17,2
11420442,2019-11-18,3
11420442,2019-11-19,1
11420442,2019-11-24,2
11420442,2019-11-25,4
11420442,2019-11-26,7
11420442,2019-11-27,4
11420442,2019-11-28,15
11420442,2019-11-29,11
11420442,2019-11-30,4
11420442,2019-12-01,2
11420442,2019-12-02,8
11420442,2019-12-03,1
11420442,2019-12-04,3
11420442,2019-12-05,3
11420442,2019-12-07,3
11420442,2019-12-08,3
11420442,2019-12-09,5
11420442,2019-12-11,1
11420442,2019-12-13,2
11420442,2019-12-15,3
11420442,2019-12-16,4
11420442,2019-12-17,3
11420442,2019-12-18,3
11420442,2019-12-19,4
11420442,2019-12-21,4
11420442,2019-12-23,6
11420442,2019-12-24,1
11420442,2019-12-25,2
11420442,2019-12-26,4
11420442,2019-12-27,6
11420442,2019-12-28,1
11420442,2019-12-29,3
11420442,2019-12-30,3
11420442,2019-12-31,2
11420442,2020-01-01,3
11420442,2020-01-02,5
11420442,2020-01-03,4
11420442,2020-01-04,15
11420442,2020-01-05,5
11420442,2020-01-13,3
11420442,2020-01-14,6
11420442,2020-01-15,5
11420442,2020-01-17,2
11420442,2020-01-18,6
11420442,2020-01-19,1
11420442,2020-01-20,5
11420442,2020-01-21,1
11420442,2020-01-22,5
11420442,2020-01-23,2
11420442,2020-01-24,3
11420442,2020-01-25,5
11420442,2020-01-26,4
11420442,2020-01-27,4
11420442,2020-01-28,9
11420442,2020-01-29,2
11420442,2020-01-30,6
11420442,2020-01-31,3
11420442,2020-02-01,11
11420442,2020-02-02,9
11420442,2020-02-03,5
11420442,2020-02-04,11
11420442,2020-02-05,4
11420442,2020-02-13,1
11420442,2020-02-14,1
11420442,2020-02-15,6
11420442,2020-02-16,6
11420442,2020-02-17,6
11420442,2020-02-18,0
11420442,2020-02-19,9
11420442,2020-02-20,9
11420442,2020-02-21,5
11420442,2020-02-22,5
11420442,2020-02-23,1
11420442,2020-02-24,5
11420442,2020-02-25,5
11420442,2020-02-26,9
11420442,2020-02-27,3
11420442,2020-02-28,1
11420442,2020-02-29,9
11420442,2020-03-01,8
11420442,2020-03-02,6
11420442,2020-03-03,4
11420442,2020-03-04,7
11420442,2020-03-05,6
11420442,2020-03-13,1
11420442,2020-03-15,6
11420442,2020-03-16,2
11420442,2020-03-17,3
11420442,2020-03-18,4
11420442,2020-03-19,9
11420442,2020-03-20,1
11420442,2020-03-21,6
11420442,2020-03-22,7
11420442,2020-03-23,2
11420442,2020-03-24,5
11420442,2020-03-25,7
11420442,2020-03-26,5
11420442,2020-03-27,14
11420442,2020-03-28,7
11420442,2020-03-29,11
11420442,2020-03-30,13
11420442,2020-03-31,8
11420442,2020-04-01,3
11420442,2020-04-02,2
11420442,2020-04-03,6
11420442,2020-04-04,9
11420442,2020-04-05,7
11420442,2020-04-13,15
11420442,2020-04-14,3
11420442,2020-04-15,12
11420442,2020-04-16,7
11420442,2020-04-17,6
11420442,2020-04-18,5
11420442,2020-04-19,15
11420442,2020-04-20,9
11420442,2020-04-21,11
11420442,2020-04-22,5
11420442,2020-04-23,12
11420442,2020-04-24,7
11420442,2020-04-25,6
11420442,2020-04-26,7
11420442,2020-04-27,10
11420442,2020-04-28,13
11420442,2020-04-29,8
11420442,2020-04-30,7
11420442,2020-05-01,5
11420442,2020-05-02,6
11420442,2020-05-03,4
11420442,2020-05-04,12
11420442,2020-05-05,3
11420442,2020-05-13,6
11420442,2020-05-14,15
11420442,2020-05-15,5
11420442,2020-05-16,4
11420442,2020-05-17,4
11420442,2020-05-18,6
11420442,2020-05-19,7
11420442,2020-05-20,3
11420442,2020-05-21,4
11420442,2020-05-22,8
11420442,2020-05-23,10
11420442,2020-05-24,6
11420442,2020-05-25,5
11420442,2020-05-26,3
11420442,2020-05-27,6
11420442,2020-05-28,5
11420442,2020-05-29,2
11420442,2020-05-30,4
11420442,2020-05-31,0
11420442,2020-06-01,2
11420442,2020-06-02,2
11420442,2020-06-03,2
11420442,2020-06-04,4
11420442,2020-06-05,9
11420442,2020-07-01,1
11420442,2020-07-02,1
11420442,2020-07-03,6
11420442,2020-07-04,12
11420442,2020-07-05,12
11420442,2020-08-01,7
11420442,2020-08-03,1
11420442,2020-08-04,4
11420442,2020-08-05,4
11420442,2020-09-01,1
11420442,2020-09-02,3
11420442,2020-09-03,2
11420442,2020-09-04,6
11420442,2020-09-05,8
11420442,2020-09-06,1
11420442,2020-10-01,7
11420442,2020-10-02,3
11420442,2020-10-03,2
11420442,2020-10-04,1
11420442,2020-10-05,7
11420442,2020-10-06,0
11420442,2020-10-30,1
11420442,2020-11-01,5
11420442,2020-11-02,2
11420442,2020-11-03,2
11420442,2020-11-04,8
11420442,2020-11-05,12
11420442,2020-11-26,2
11420442,2020-11-27,10
11420442,2020-11-28,8
11420442,2020-11-29,13
11420442,2020-11-30,1
11420442,2020-12-01,3
11420442,2020-12-02,2
11420442,2020-12-03,4
11420442,2020-12-04,9
11420442,2020-12-05,9
11420442,2020-12-09,1
